CMD,DN,P,SECONDS
         seq ,      1000000 ,    2 ,      115.275
  task-graph ,      1000000 ,    2 ,       66.246
      manual ,      1000000 ,    2 ,        62.35
  iter-graph ,      1000000 ,    2 ,       76.674
      schema ,      1000000 ,    2 ,       64.338
         seq ,      1000000 ,    4 ,      111.372
  task-graph ,      1000000 ,    4 ,       37.743
      manual ,      1000000 ,    4 ,        42.34
  iter-graph ,      1000000 ,    4 ,       33.613
      schema ,      1000000 ,    4 ,       33.439
         seq ,      1000000 ,    8 ,      113.832
  task-graph ,      1000000 ,    8 ,       31.041
      manual ,      1000000 ,    8 ,       23.763
  iter-graph ,      1000000 ,    8 ,       23.992
      schema ,      1000000 ,    8 ,       25.129
         seq ,      1000000 ,   16 ,      115.155
  task-graph ,      1000000 ,   16 ,       32.336
      manual ,      1000000 ,   16 ,       21.097
  iter-graph ,      1000000 ,   16 ,       21.648
      schema ,      1000000 ,   16 ,       20.983
         seq ,     10000000 ,    2 , 1115.3029999999999
  task-graph ,     10000000 ,    2 ,      622.679
      manual ,     10000000 ,    2 ,      595.674
  iter-graph ,     10000000 ,    2 ,      615.153
      schema ,     10000000 ,    2 ,      598.858
         seq ,     10000000 ,    4 ,     1119.877
  task-graph ,     10000000 ,    4 ,      322.925
      manual ,     10000000 ,    4 ,      309.185
  iter-graph ,     10000000 ,    4 ,      316.016
      schema ,     10000000 ,    4 ,      313.652
         seq ,     10000000 ,    8 ,     1109.346
  task-graph ,     10000000 ,    8 ,      214.376
      manual ,     10000000 ,    8 ,      193.004
  iter-graph ,     10000000 ,    8 ,      198.873
      schema ,     10000000 ,    8 ,      191.685
         seq ,     10000000 ,   16 ,      1144.01
  task-graph ,     10000000 ,   16 ,      187.443
      manual ,     10000000 ,   16 ,      168.989
  iter-graph ,     10000000 ,   16 ,      169.006
      schema ,     10000000 ,   16 ,      177.239
         seq ,       100000 ,    2 ,         11.1
  task-graph ,       100000 ,    2 ,        9.064
