CMD,DN,P,SECONDS
      manual ,       100000 ,   16 ,     0.658226
  iter-graph ,       100000 ,   16 ,     0.887039
      schema ,       100000 ,   16 , 0.6442060000000001
         seq ,      1000000 ,    2 ,       11.185
  task-graph ,      1000000 ,    2 ,        6.773
      manual ,      1000000 ,    2 ,         6.41
  iter-graph ,      1000000 ,    2 ,        6.587
      schema ,      1000000 ,    2 ,        6.415
         seq ,      1000000 ,    4 ,       11.586
  task-graph ,      1000000 ,    4 ,        4.151
      manual ,      1000000 ,    4 ,        3.605
  iter-graph ,      1000000 ,    4 ,        3.844
      schema ,      1000000 ,    4 ,        3.652
         seq ,      1000000 ,    8 ,       11.524
  task-graph ,      1000000 ,    8 ,        3.762
      manual ,      1000000 ,    8 ,        2.927
  iter-graph ,      1000000 ,    8 ,        3.304
      schema ,      1000000 ,    8 ,        3.095
         seq ,      1000000 ,   16 ,       11.393
  task-graph ,      1000000 ,   16 ,        3.633
      manual ,      1000000 ,   16 ,        2.465
  iter-graph ,      1000000 ,   16 ,        2.838
      schema ,      1000000 ,   16 ,        2.716
         seq ,     10000000 ,    2 ,      113.882
  task-graph ,     10000000 ,    2 ,       62.827
      manual ,     10000000 ,    2 ,        61.26
  iter-graph ,     10000000 ,    2 ,       60.727
      schema ,     10000000 ,    2 ,       60.175
         seq ,     10000000 ,    4 , 115.85300000000001
  task-graph ,     10000000 ,    4 ,       32.093
      manual ,     10000000 ,    4 ,       31.044
  iter-graph ,     10000000 ,    4 ,       32.265
      schema ,     10000000 ,    4 ,       31.728
         seq ,     10000000 ,    8 ,      112.161
  task-graph ,     10000000 ,    8 ,       22.564
      manual ,     10000000 ,    8 ,       22.491
  iter-graph ,     10000000 ,    8 ,       22.924
      schema ,     10000000 ,    8 ,       21.958
         seq ,     10000000 ,   16 , 111.33500000000001
  task-graph ,     10000000 ,   16 ,       18.682
      manual ,     10000000 ,   16 ,       17.864
  iter-graph ,     10000000 ,   16 ,       18.259
      schema ,     10000000 ,   16 ,       18.355
         seq ,       100000 ,    2 ,         1.12
  task-graph ,       100000 ,    2 ,        1.079
      manual ,       100000 ,    2 ,     0.769535
  iter-graph ,       100000 ,    2 ,     0.805449
      schema ,       100000 ,    2 ,     0.715019
         seq ,       100000 ,    4 ,        1.176
  task-graph ,       100000 ,    4 ,         1.04
      manual ,       100000 ,    4 ,     0.518259
  iter-graph ,       100000 ,    4 , 0.5772200000000001
      schema ,       100000 ,    4 , 0.48897399999999996
         seq ,       100000 ,    8 ,        1.125
  task-graph ,       100000 ,    8 ,        1.299
      manual ,       100000 ,    8 ,     0.549455
  iter-graph ,       100000 ,    8 ,     0.701188
      schema ,       100000 ,    8 ,     0.491589
         seq ,       100000 ,   16 ,        1.174
  task-graph ,       100000 ,   16 ,        2.087
      manual ,       100000 ,   16 ,     0.673991
  iter-graph ,       100000 ,   16 ,     0.869366
      schema ,       100000 ,   16 ,     0.627192
         seq ,      1000000 ,    2 ,       11.408
  task-graph ,      1000000 ,    2 ,        6.803
      manual ,      1000000 ,    2 ,        6.401
  iter-graph ,      1000000 ,    2 ,        6.557
      schema ,      1000000 ,    2 ,        6.465
         seq ,      1000000 ,    4 ,       11.524
  task-graph ,      1000000 ,    4 ,        4.135
      manual ,      1000000 ,    4 ,        3.652
  iter-graph ,      1000000 ,    4 ,         3.77
      schema ,      1000000 ,    4 ,        3.706
         seq ,      1000000 ,    8 ,       11.243
  task-graph ,      1000000 ,    8 ,         3.85
      manual ,      1000000 ,    8 ,        2.817
  iter-graph ,      1000000 ,    8 ,        3.314
      schema ,      1000000 ,    8 ,        3.103
         seq ,      1000000 ,   16 ,       11.589
  task-graph ,      1000000 ,   16 ,        3.624
      manual ,      1000000 ,   16 ,        2.449
  iter-graph ,      1000000 ,   16 ,        2.788
      schema ,      1000000 ,   16 ,        2.626
         seq ,     10000000 ,    2 ,      115.688
  task-graph ,     10000000 ,    2 ,       62.259
      manual ,     10000000 ,    2 ,        62.09
  iter-graph ,     10000000 ,    2 ,       62.199
      schema ,     10000000 ,    2 ,       59.862
         seq ,     10000000 ,    4 ,      110.956
  task-graph ,     10000000 ,    4 ,       32.188
      manual ,     10000000 ,    4 ,       31.321
  iter-graph ,     10000000 ,    4 ,       32.043
      schema ,     10000000 ,    4 ,       31.542
         seq ,     10000000 ,    8 ,      113.225
  task-graph ,     10000000 ,    8 ,       23.064
      manual ,     10000000 ,    8 ,       23.349
  iter-graph ,     10000000 ,    8 ,        22.04
      schema ,     10000000 ,    8 ,       21.612
         seq ,     10000000 ,   16 ,      111.255
  task-graph ,     10000000 ,   16 ,       19.351
      manual ,     10000000 ,   16 ,       17.886
  iter-graph ,     10000000 ,   16 ,       18.092
      schema ,     10000000 ,   16 ,       19.508
