CMD,DN,P,SECONDS
         seq ,       100000 ,    2 ,        1.124
  task-graph ,       100000 ,    2 ,        1.102
      manual ,       100000 ,    2 , 0.7484890000000001
  iter-graph ,       100000 ,    2 ,     0.811925
      schema ,       100000 ,    2 ,     0.734161
         seq ,       100000 ,    4 ,        1.145
  task-graph ,       100000 ,    4 ,        1.071
      manual ,       100000 ,    4 ,      0.49651
  iter-graph ,       100000 ,    4 ,     0.607545
      schema ,       100000 ,    4 , 0.5035810000000001
         seq ,       100000 ,    8 ,        1.171
  task-graph ,       100000 ,    8 ,        1.313
      manual ,       100000 ,    8 , 0.5620499999999999
  iter-graph ,       100000 ,    8 ,     0.635251
      schema ,       100000 ,    8 ,     0.519412
         seq ,       100000 ,   16 ,        1.146
  task-graph ,       100000 ,   16 ,        2.069
      manual ,       100000 ,   16 ,     0.712379
  iter-graph ,       100000 ,   16 ,     0.871178
      schema ,       100000 ,   16 ,     0.638398
         seq ,      1000000 ,    2 ,       11.368
  task-graph ,      1000000 ,    2 ,        6.686
      manual ,      1000000 ,    2 ,        6.393
  iter-graph ,      1000000 ,    2 ,        6.565
      schema ,      1000000 ,    2 ,         6.41
         seq ,      1000000 ,    4 ,       11.143
  task-graph ,      1000000 ,    4 ,        4.305
      manual ,      1000000 ,    4 ,         3.77
  iter-graph ,      1000000 ,    4 ,        3.737
      schema ,      1000000 ,    4 ,         3.59
         seq ,      1000000 ,    8 ,       11.307
  task-graph ,      1000000 ,    8 ,        3.682
      manual ,      1000000 ,    8 ,        2.677
  iter-graph ,      1000000 ,    8 ,        3.063
      schema ,      1000000 ,    8 ,        2.819
         seq ,      1000000 ,   16 ,       11.138
  task-graph ,      1000000 ,   16 ,         3.64
      manual ,      1000000 ,   16 ,        2.436
  iter-graph ,      1000000 ,   16 ,        2.797
      schema ,      1000000 ,   16 ,        2.584
         seq ,     10000000 ,    2 , 114.97999999999999
  task-graph ,     10000000 ,    2 ,       62.325
      manual ,     10000000 ,    2 ,       60.058
  iter-graph ,     10000000 ,    2 ,       61.314
      schema ,     10000000 ,    2 ,       60.719
         seq ,     10000000 ,    4 , 118.22200000000001
  task-graph ,     10000000 ,    4 ,       32.016
      manual ,     10000000 ,    4 ,       30.962
  iter-graph ,     10000000 ,    4 ,       31.765
      schema ,     10000000 ,    4 ,       31.502
         seq ,     10000000 ,    8 ,      114.828
  task-graph ,     10000000 ,    8 ,       23.127
      manual ,     10000000 ,    8 ,        20.34
  iter-graph ,     10000000 ,    8 ,        22.51
      schema ,     10000000 ,    8 ,       21.345
         seq ,     10000000 ,   16 ,      115.104
  task-graph ,     10000000 ,   16 ,       18.469
      manual ,     10000000 ,   16 ,       17.717
  iter-graph ,     10000000 ,   16 ,        18.02
      schema ,     10000000 ,   16 ,       18.606
         seq ,       100000 ,    2 ,        1.129
  task-graph ,       100000 ,    2 ,        1.099
      manual ,       100000 ,    2 , 0.7441660000000001
  iter-graph ,       100000 ,    2 , 0.8099149999999999
      schema ,       100000 ,    2 ,        1.456
         seq ,       100000 ,    4 ,        1.181
  task-graph ,       100000 ,    4 ,        1.035
      manual ,       100000 ,    4 ,     0.570725
  iter-graph ,       100000 ,    4 ,     0.606051
      schema ,       100000 ,    4 ,     0.504698
         seq ,       100000 ,    8 ,         1.13
  task-graph ,       100000 ,    8 ,        1.268
      manual ,       100000 ,    8 , 0.5695800000000001
  iter-graph ,       100000 ,    8 ,     0.666805
      schema ,       100000 ,    8 ,     0.521941
         seq ,       100000 ,   16 ,        1.146
  task-graph ,       100000 ,   16 ,        2.098
      manual ,       100000 ,   16 , 0.6490589999999999
  iter-graph ,       100000 ,   16 ,     0.844351
      schema ,       100000 ,   16 ,     0.662064
         seq ,      1000000 ,    2 ,       11.148
  task-graph ,      1000000 ,    2 ,        6.706
      manual ,      1000000 ,    2 ,        6.339
  iter-graph ,      1000000 ,    2 ,        6.524
      schema ,      1000000 ,    2 ,        6.394
         seq ,      1000000 ,    4 ,       11.568
  task-graph ,      1000000 ,    4 ,        4.157
      manual ,      1000000 ,    4 ,         3.62
  iter-graph ,      1000000 ,    4 ,        3.721
      schema ,      1000000 ,    4 ,        3.703
         seq ,      1000000 ,    8 ,        11.54
  task-graph ,      1000000 ,    8 ,        3.638
      manual ,      1000000 ,    8 ,        2.865
  iter-graph ,      1000000 ,    8 ,        3.141
      schema ,      1000000 ,    8 ,        3.061
         seq ,      1000000 ,   16 ,       11.152
  task-graph ,      1000000 ,   16 ,        3.543
      manual ,      1000000 ,   16 ,        3.399
  iter-graph ,      1000000 ,   16 ,        2.787
      schema ,      1000000 ,   16 ,        2.542
         seq ,     10000000 ,    2 ,      110.788
  task-graph ,     10000000 ,    2 ,       61.989
      manual ,     10000000 ,    2 ,       60.119
  iter-graph ,     10000000 ,    2 ,       61.406
      schema ,     10000000 ,    2 ,       59.924
         seq ,     10000000 ,    4 ,       114.93
  task-graph ,     10000000 ,    4 ,       31.991
      manual ,     10000000 ,    4 ,       31.497
  iter-graph ,     10000000 ,    4 ,       31.902
      schema ,     10000000 ,    4 ,       31.758
         seq ,     10000000 ,    8 ,      114.783
  task-graph ,     10000000 ,    8 ,       22.814
      manual ,     10000000 ,    8 ,       21.473
  iter-graph ,     10000000 ,    8 ,       22.272
      schema ,     10000000 ,    8 ,       21.112
         seq ,     10000000 ,   16 ,      112.468
  task-graph ,     10000000 ,   16 ,       18.607
      manual ,     10000000 ,   16 ,       17.711
  iter-graph ,     10000000 ,   16 ,        17.97
      schema ,     10000000 ,   16 ,       18.987
         seq ,       100000 ,    2 ,        1.186
  task-graph ,       100000 ,    2 ,        1.088
      manual ,       100000 ,    2 , 0.7589940000000001
  iter-graph ,       100000 ,    2 ,     0.816136
      schema ,       100000 ,    2 ,      0.71937
         seq ,       100000 ,    4 ,        1.124
  task-graph ,       100000 ,    4 ,        1.081
      manual ,       100000 ,    4 , 0.5250779999999999
  iter-graph ,       100000 ,    4 ,     0.618831
      schema ,       100000 ,    4 ,     0.511132
         seq ,       100000 ,    8 ,        1.187
  task-graph ,       100000 ,    8 ,        1.267
      manual ,       100000 ,    8 ,     0.583922
  iter-graph ,       100000 ,    8 , 0.6424679999999999
      schema ,       100000 ,    8 ,     0.584182
         seq ,       100000 ,   16 ,        1.175
  task-graph ,       100000 ,   16 ,          2.1
      manual ,       100000 ,   16 ,     0.670635
  iter-graph ,       100000 ,   16 ,     0.863724
      schema ,       100000 ,   16 ,     0.673984
         seq ,      1000000 ,    2 ,       11.135
  task-graph ,      1000000 ,    2 ,        6.727
      manual ,      1000000 ,    2 ,        6.375
  iter-graph ,      1000000 ,    2 ,        6.572
      schema ,      1000000 ,    2 ,        6.353
         seq ,      1000000 ,    4 ,       11.142
  task-graph ,      1000000 ,    4 ,        4.088
      manual ,      1000000 ,    4 ,        3.638
  iter-graph ,      1000000 ,    4 ,        3.754
      schema ,      1000000 ,    4 ,        3.588
         seq ,      1000000 ,    8 ,       11.554
  task-graph ,      1000000 ,    8 ,        3.585
      manual ,      1000000 ,    8 ,        2.675
  iter-graph ,      1000000 ,    8 ,        3.251
      schema ,      1000000 ,    8 ,        3.055
         seq ,      1000000 ,   16 ,       11.452
  task-graph ,      1000000 ,   16 ,        3.625
      manual ,      1000000 ,   16 ,        2.436
  iter-graph ,      1000000 ,   16 ,        2.742
      schema ,      1000000 ,   16 ,        2.732
         seq ,     10000000 ,    2 ,      113.378
  task-graph ,     10000000 ,    2 ,       62.157
      manual ,     10000000 ,    2 ,       61.479
  iter-graph ,     10000000 ,    2 ,       62.384
      schema ,     10000000 ,    2 ,       60.436
         seq ,     10000000 ,    4 , 110.92099999999999
  task-graph ,     10000000 ,    4 ,       32.113
      manual ,     10000000 ,    4 ,        31.17
  iter-graph ,     10000000 ,    4 ,       32.124
      schema ,     10000000 ,    4 ,       31.112
         seq ,     10000000 ,    8 , 114.99199999999999
  task-graph ,     10000000 ,    8 ,       22.054
      manual ,     10000000 ,    8 ,       21.868
  iter-graph ,     10000000 ,    8 ,       27.093
      schema ,     10000000 ,    8 ,       22.493
         seq ,     10000000 ,   16 ,      111.001
  task-graph ,     10000000 ,   16 ,       18.672
      manual ,     10000000 ,   16 ,       17.599
  iter-graph ,     10000000 ,   16 ,       19.696
      schema ,     10000000 ,   16 ,       18.787
         seq ,       100000 ,    2 ,        1.175
  task-graph ,       100000 ,    2 ,        1.081
      manual ,       100000 ,    2 ,     0.750619
  iter-graph ,       100000 ,    2 , 0.8045180000000001
      schema ,       100000 ,    2 ,     0.725368
         seq ,       100000 ,    4 ,        1.162
  task-graph ,       100000 ,    4 ,        1.072
      manual ,       100000 ,    4 ,     0.517241
  iter-graph ,       100000 ,    4 ,     0.616619
      schema ,       100000 ,    4 , 0.5378890000000001
         seq ,       100000 ,    8 ,        1.175
  task-graph ,       100000 ,    8 ,        1.228
      manual ,       100000 ,    8 ,     0.565119
  iter-graph ,       100000 ,    8 ,     0.670986
      schema ,       100000 ,    8 , 0.49585700000000005
         seq ,       100000 ,   16 ,        1.111
  task-graph ,       100000 ,   16 ,        2.091
      manual ,       100000 ,   16 ,     0.654396
  iter-graph ,       100000 ,   16 ,     0.850664
      schema ,       100000 ,   16 ,     0.672826
         seq ,      1000000 ,    2 ,       11.391
  task-graph ,      1000000 ,    2 ,        6.717
      manual ,      1000000 ,    2 ,        6.375
  iter-graph ,      1000000 ,    2 ,        6.538
      schema ,      1000000 ,    2 ,         6.42
         seq ,      1000000 ,    4 ,       11.357
  task-graph ,      1000000 ,    4 ,        4.088
      manual ,      1000000 ,    4 ,        3.646
  iter-graph ,      1000000 ,    4 ,        3.752
      schema ,      1000000 ,    4 ,        3.564
         seq ,      1000000 ,    8 ,       11.554
  task-graph ,      1000000 ,    8 ,        3.584
      manual ,      1000000 ,    8 ,        2.717
  iter-graph ,      1000000 ,    8 ,        3.078
      schema ,      1000000 ,    8 ,        2.979
         seq ,      1000000 ,   16 ,       11.445
  task-graph ,      1000000 ,   16 ,        3.599
      manual ,      1000000 ,   16 ,         2.49
  iter-graph ,      1000000 ,   16 ,        2.756
      schema ,      1000000 ,   16 ,        2.577
         seq ,     10000000 ,    2 , 114.86699999999999
  task-graph ,     10000000 ,    2 ,       62.528
      manual ,     10000000 ,    2 ,       60.462
  iter-graph ,     10000000 ,    2 ,       61.579
      schema ,     10000000 ,    2 ,       60.404
         seq ,     10000000 ,    4 ,      114.669
  task-graph ,     10000000 ,    4 ,       31.662
      manual ,     10000000 ,    4 ,       30.869
  iter-graph ,     10000000 ,    4 ,        31.96
      schema ,     10000000 ,    4 ,       31.423
         seq ,     10000000 ,    8 ,      111.964
  task-graph ,     10000000 ,    8 ,       21.345
      manual ,     10000000 ,    8 ,       21.867
  iter-graph ,     10000000 ,    8 ,       21.763
      schema ,     10000000 ,    8 ,       22.569
         seq ,     10000000 ,   16 ,      114.088
  task-graph ,     10000000 ,   16 ,       18.486
      manual ,     10000000 ,   16 ,       17.805
  iter-graph ,     10000000 ,   16 ,       17.899
      schema ,     10000000 ,   16 ,       19.166
