CMD,DN,P,SECONDS
         seq ,100000,2,1.124
         seq ,100000,4,1.124
         seq ,100000,8,1.13
         seq ,100000,16,1.111
         seq ,1000000,2,11.135
         seq ,1000000,4,11.142
         seq ,1000000,8,11.307
         seq ,1000000,16,11.138
         seq ,10000000,2,110.788
         seq ,10000000,4,110.921
         seq ,10000000,8,111.964
         seq ,10000000,16,111.001
      manual ,100000,2,0.7441660000000001
      manual ,100000,4,0.49651
      manual ,100000,8,0.5620499999999999
      manual ,100000,16,0.6490589999999999
      manual ,1000000,2,6.339
      manual ,1000000,4,3.62
      manual ,1000000,8,2.675
      manual ,1000000,16,2.436
      manual ,10000000,2,60.058
      manual ,10000000,4,30.869
      manual ,10000000,8,20.34
      manual ,10000000,16,17.599
      schema ,100000,2,0.71937
      schema ,100000,4,0.5035810000000001
      schema ,100000,8,0.495857
      schema ,100000,16,0.638398
      schema ,1000000,2,6.353
      schema ,1000000,4,3.564
      schema ,1000000,8,2.819
      schema ,1000000,16,2.542
      schema ,10000000,2,59.924
      schema ,10000000,4,31.112
      schema ,10000000,8,21.112
      schema ,10000000,16,18.606
  iter-graph ,100000,2,0.8045180000000001
  iter-graph ,100000,4,0.606051
  iter-graph ,100000,8,0.635251
  iter-graph ,100000,16,0.844351
  iter-graph ,1000000,2,6.524
  iter-graph ,1000000,4,3.721
  iter-graph ,1000000,8,3.063
  iter-graph ,1000000,16,2.742
  iter-graph ,10000000,2,61.314
  iter-graph ,10000000,4,31.765
  iter-graph ,10000000,8,21.763
  iter-graph ,10000000,16,17.899
  task-graph ,100000,2,1.081
  task-graph ,100000,4,1.035
  task-graph ,100000,8,1.228
  task-graph ,100000,16,2.069
  task-graph ,1000000,2,6.686
  task-graph ,1000000,4,4.088
  task-graph ,1000000,8,3.584
  task-graph ,1000000,16,3.543
  task-graph ,10000000,2,61.989
  task-graph ,10000000,4,31.662
  task-graph ,10000000,8,21.345
  task-graph ,10000000,16,18.469
